Carrier,Rate_Type,SVC,Sample_N,Avg_TOF,Avg_Known_Sum,Avg_PSS_PUC,Residual,Classification
CMA,FAK,COC,674,5034.0,4694.0,0.0,340.0,UNCLEAR_residual_$340
CMA,FAK,SOC,248,4596.0,3594.0,385.0,1002.0,UNCLEAR_residual_$1002
CMA,FIX,COC,206,4321.0,4321.0,0.0,0.0,TOF_NET
COSCO,FAK,COC,584,5117.0,4961.0,0.0,156.0,UNCLEAR_residual_$156
EMC,FAK,COC,582,4908.0,4850.0,12.0,58.0,UNCLEAR_residual_$58
HPL,FAK,COC,846,4411.0,4427.0,0.0,-16.0,TOF_NET
HPL,FAK,SOC,248,3404.0,3052.0,12.0,352.0,UNCLEAR_residual_$352
HPL,FIX,COC,552,4113.0,4113.0,0.0,0.0,TOF_NET
HPL,FIX,SOC,112,2922.0,1373.0,4.0,1550.0,UNCLEAR_residual_$1550
MSC,FAK,COC,790,4419.0,4181.0,0.0,239.0,UNCLEAR_residual_$239
ONE,FAK,COC,918,4866.0,4863.0,0.0,3.0,TOF_NET
ONE,FAK,SOC,331,4089.0,3652.0,364.0,437.0,TOF_INCLUDES_PSS_PUC
ONE,FIX,COC,552,4313.0,4313.0,0.0,1.0,TOF_NET
WHL,FAK,COC,102,5402.0,5275.0,0.0,127.0,UNCLEAR_residual_$127
YML,FAK,COC,357,4984.0,4907.0,2.0,77.0,UNCLEAR_residual_$77
YML,FAK,SOC,162,4154.0,3346.0,497.0,808.0,UNCLEAR_residual_$808
YML,FIX,COC,138,4128.0,3842.0,0.0,286.0,UNCLEAR_residual_$286
ZIM,FAK,COC,430,5157.0,3556.0,0.0,1602.0,UNCLEAR_residual_$1602
